compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,10,1.17
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,20,1.19
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,40,1.2
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,60,1.23
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,80,1.26
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,100,1.3
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,150,1.4
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,200,1.49
NiO,28.0,58.7,1.24,1.49,1.63,6.59,7.64,18.169,1.16,1.91,8.0,10.0,8.903,14.0,91.0,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,100,1.57
NiO,28.0,58.7,1.24,1.49,1.63,6.59,7.64,18.169,1.16,1.91,8.0,10.0,8.903,14.0,91.0,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,200,1.96
NiO,28.0,58.7,1.24,1.49,1.63,6.59,7.64,18.169,1.16,1.91,8.0,10.0,8.903,14.0,91.0,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,300,2.07
NiO,28.0,58.7,1.24,1.49,1.63,6.59,7.64,18.169,1.16,1.91,8.0,10.0,8.903,14.0,91.0,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,400,2.18
RuO2,44.0,101.07,1.46,1.78,2.07,8.3,7.361,16.79,1.05,2.2,7.0,8.0,12.37,14.0,51.0,16.0,31.9988,1.32,0.96,3.04,28.0,27.236,70.234,2.92,6.88,8.0,12.0,0.002858,50,1.73
RuO2,44.0,101.07,1.46,1.78,2.07,8.3,7.361,16.79,1.05,2.2,7.0,8.0,12.37,14.0,51.0,16.0,31.9988,1.32,0.96,3.04,28.0,27.236,70.234,2.92,6.88,8.0,12.0,0.002858,100,1.96
RuO2,44.0,101.07,1.46,1.78,2.07,8.3,7.361,16.79,1.05,2.2,7.0,8.0,12.37,14.0,51.0,16.0,31.9988,1.32,0.96,3.04,28.0,27.236,70.234,2.92,6.88,8.0,12.0,0.002858,150,1.98
MnO,25.0,54.938,1.39,1.61,1.97,7.4,7.434,17.08,0.0,1.55,5.0,7.0,7.47,0.62,7.8,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,50,1.17
MnO,25.0,54.938,1.39,1.61,1.97,7.4,7.434,17.08,0.0,1.55,5.0,7.0,7.47,0.62,7.8,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,100,1.3
MnO,25.0,54.938,1.39,1.61,1.97,7.4,7.434,17.08,0.0,1.55,5.0,7.0,7.47,0.62,7.8,8.0,15.9994,0.66,0.48,1.52,14.0,13.618,35.117,1.46,3.44,4.0,6.0,0.001429,200,1.45
